"COc1nc(C)ccc1NS(=O)(=O)c1c(F)cccc1F","ZINC001259063807","DEAD"
"CCOc1ccc(Cl)cc1[C@@H](C)NC[C@H](C)CCO","ZINC000305142068","CGAD"
"O=C(c1ccc(Cn2cccn2)cc1)N1CC(CF)C1","ZINC000412528832","CDAD"
"CCCO[C@H](C(=O)NCCN(C)C(C)C)c1ccc(F)cc1C","ZINC001632776786","DGAD"
"CCN1CCCN(c2ncnc3sc4c(c32)CCCC4)CC1=O","ZINC000276344690","EFAD"
"CC[C@@H](CN1CC[C@@H]1CNC(=O)Cn1ccccc1=O)OC","ZINC001439567627","DCAD"
"CC[C@@H](C)CNC1CC2(C1)CC(NC(=O)c1nccc(C)n1)C2","ZINC001121029001","DEAD"
"CCS(=O)(=O)NCC(=O)NC[C@@H](C)N[C@@H](C)C(N)=O","ZINC001437156916","CAAD"
"Cc1cccnc1CNC(=O)C(=O)Nc1cnn(C(C)(C)C)c1","ZINC000152571471","DDAD"
"c1coc(CNc2nnc(SCc3cscn3)s2)c1","ZINC000804621878","DGAD"
"CC(C)(CCS(C)(=O)=O)NC(=O)c1cc(Cl)ccc1O","ZINC001361989030","DDAD"
"Cc1sc(CC(=O)NC[C@H](C)Cn2cccn2)nc1C(C)C","ZINC000584152575","DFAD"
"Cc1nn(C)cc1CN[C@H]1CCN(C(=O)C2CCN(C)CC2)C1","ZINC001019322768","DCAD"
"O=C(NC[C@@H]1C[C@@H](NC(=O)[C@H]2CCNC(=O)CC2)C1)c1nc[nH]n1","ZINC000980146607","EBAD"
"COCCCNC(=O)CN[C@@H]1CCCN(C(=O)CCNC(N)=O)C1","ZINC001211000891","EAAD"
"COc1ccc(C(=O)N2CC(O)(CNC(=O)C(N)=O)C2)cn1","ZINC001045518399","DAAD"
"Cc1ccc2nc(CNS(=O)(=O)c3cccnc3)cn2c1","ZINC000079910467","DDAD"
"Cn1ncnc1CNCCCNC(=O)[C@H]1CCCCN(C)C1=O","ZINC001171020610","DBAD"
"CS(=O)(=O)N1CCC[C@@H](NC(=O)N[C@@H]2CCC[C@@H]2CO)C1","ZINC000457973296","DBAD"
"CC[C@H](NC(=O)Cn1cc(C(=O)O)nn1)C(=O)O","ZINC001610053326","CAAD"
"C[C@@H](C(=O)N[C@@H]1CCN(C)[C@@H](C)C1)N1CCOCC1","ZINC000568779100","CCAD"
"Cc1nc2ccccc2nc1N1CCO[C@@H](C(=O)C2CC2)C1","ZINC000330057811","CEAD"
"CCCn1nc(C)c(C(=O)N2CCCOC2)c1C","ZINC000288409360","CDAD"
"CN1C[C@@H](C(=O)NCCN[C@H]2CCCNC2=O)CCC1=O","ZINC001152523073","CAAD"
"Cc1nccc(NCC[C@H](C)NC(=O)c2c(C3CCC3)cnn2C)n1","ZINC001106608065","EEAD"
"CCN1C[C@H](COC(=O)c2cccc3[nH]c(=O)oc32)CC1=O","ZINC000154338831","DDAD"
"CCC[C@@H]1CCCC[C@@H]1NC(=O)C(=O)Nc1ccc(C#N)cn1","ZINC000559614319","DEED"
"C[C@@H](O)C[C@H](CNC(=O)CCc1cncc(F)c1)c1ccccc1","ZINC000305762532","EFAD"
"CCCc1c(C(=O)NC2[C@H]3CN(Cc4coc(C)n4)C[C@H]23)cnn1C","ZINC000960769523","EDAD"
"CC[C@H](N[C@H](C)[C@@H]1CCN(Cc2ccccc2)C1)[C@@H]1CCCO1","ZINC000359897058","DGAD"
"CCCN(CCNC(=O)[C@H]1CCCS1(=O)=O)CC(=O)N1CCC1","ZINC001418747321","EBAD"
"COc1nnccc1NC(=O)N1CCc2ccccc2[C@@H](C)C1","ZINC000650207274","DFAD"
"CCC(=O)CCCOC(=O)c1ccc2nc(C(F)(F)F)cn2c1","ZINC000770432443","EGAD"
"Cc1ocnc1C(=O)N[C@@H]1CCCN(C(=O)[C@@H]2CNC(=O)N2)CC1","ZINC000964788466","EBAD"
"C[C@@H]1CN(C(=O)Nc2ccc(OCC3CC3)cc2)C[C@H]1O","ZINC000352170806","CEAD"
"COC(=O)[C@H]1C[C@@H](C(=O)N2CC(n3cc(C(=O)O)nn3)C2)C1","ZINC001571097878","DBAD"
"C[C@H](O)CN1CCNC(=O)CCN(C(=O)[C@@]2(C)CNC(=O)C2)CC1","ZINC001070982187","EAAD"
"Cc1nonc1CC(=O)N(C)[C@H](C)CNCc1nc(C(C)(C)C)n[nH]1","ZINC001392120151","ECAD"
"CCOc1cc(CNC[C@]2(C)CCCO2)ccc1OC(=O)CC","ZINC000840904245","DGAD"
"c1ccc2c(c1)OC[C@H](c1noc([C@H]3CC[C@@H](C4CC4)N3)n1)O2","ZINC000844915318","DFAD"
"CC(C)CC(=O)NC[C@H]1CN(C(=O)CCC2CC2)CC[C@H]1C","ZINC001413643880","DFAD"
"CSCC(=O)N1CC[C@@]2(CCN(Cc3cnnn3C)C2)C1","ZINC001041051958","DCAD"
"CCOC(=O)[C@@H](C#N)NC(=O)CNC(=O)[C@H](CO)NC(C)=O","ZINC001186602841","DAED"
"C#CCN[C@H]1C[C@@H](CNC(=O)c2cc(C)n(C)c2C)C1","ZINC001086268304","CDED"
"CCc1[nH]ccc1C(=O)N1C[C@@H](NC(=O)c2cncn2C)[C@H](OC)C1","ZINC000942582963","ECAD"
"O=C([C@@H]1CCCO1)N1CCC(Oc2ncccc2F)CC1","ZINC000278491170","CDAD"
"Cc1cc(C(=O)N2CCC[C@@H]2C(N)=O)c(Br)s1","ZINC000408005721","DDAD"
"Cc1nc(CNC[C@@H](O)CN(C)C(=O)c2cnn[nH]2)n[nH]1","ZINC001394743883","CAAD"
"Cn1cc(C(=O)N2CCO[C@@H](CNC(=O)c3cc[nH]n3)C2)nn1","ZINC000944492391","DAAD"
"COc1cnc(C)nc1-c1nc(-c2cccc3occc32)no1","ZINC001214029884","DGAD"
"CCO[C@@H](C)C(=O)N1Cc2ccc(CNC(=O)C=C(C)C)cc2C1","ZINC001070289939","EFAD"
"Cc1nn(C)c(C)c1CC(=O)N1C[C@H](O)[C@@H](N(C)C(=O)C(N)=O)C1","ZINC000958944233","EAAD"
"CC1(C)C[C@@H]1CN1C(=O)N[C@@H](Cc2cccc3ccccc32)C1=O","ZINC000431337501","DGAD"
"Cc1cc(C(=O)N2C[C@@H](NCc3cncn3C)C[C@H]2C)c(C)o1","ZINC000988062080","DEAD"
"C[C@H]1COCCN(CC(=O)NC[C@@H]2CCCO2)C1","ZINC000332739516","CCAD"
"O=C(CN1CCOCC1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1(F)CC1","ZINC001801477648","ECAD"
"C[C@H](C(=O)N1CC[C@@H](N(C)C(=O)c2cc3sccc3[nH]2)C1)C1CC1","ZINC000937043622","EFAD"
"CCn1[nH]nnc1=NC(=O)N[C@]1(CC)CCOC1","ZINC000888328217","CBAD"
"C[C@@H]1CN(C(=O)NC[C@@H]2CCN(c3ccc(F)cc3)C2)CCN1","ZINC000417263189","DDAD"
"CC1(C)COc2cc(NC(=O)Cc3c[nH]c4c3cccc4F)nn2C1","ZINC001182557251","EGAD"
"CC[C@@H](NC(=O)/C=C\c1scnc1C)C1CCOCC1","ZINC000492720384","CFAD"
"Cc1cc(C(=O)N2CC[C@@H](NC(=O)C3CCCCC3)[C@H]2C)n[nH]1","ZINC001011538948","DEAD"
"CN(C)CCOc1cccc(-c2ccc3ncncc3c2)c1","ZINC001242513987","CGAD"
"CO[C@@H]1COC[C@@H]1NC(=O)N[C@H]1CC[C@@H](c2cccc(F)c2)C1","ZINC000655877590","DEAD"
"C[C@H](CC(=O)O[C@H](C1CC1)C(F)(F)F)n1cccn1","ZINC000820239888","CFAD"
"CCN(CCN[C@H]1CCN(C)C1=O)C(=O)CNS(=O)(=O)N(C)C","ZINC001420242065","EAAD"
"O=C(Nc1ccc(F)c(F)c1)c1cc2c([nH]c1=O)CCCCC2","ZINC000078025574","DGAD"
"CC(C)(NC(=O)c1csc(C2CCNCC2)n1)c1nccs1","ZINC000870922109","EFAD"
"CCOC1(C(=O)NCC(=O)N(C)C2CCCCC2)CCCC1","ZINC000341417977","DEAD"
"C=CCN1CC[C@H](N2CC[C@@H](C3OCCO3)C2)C1=O","ZINC000932002573","CCED"
"O=C(Cn1cncn1)N1[C@@H]2CC[C@H]1CN(C(=O)[C@H]1C[C@@]13CCOC3)C2","ZINC000970062506","EBAD"
"CC[C@@H](NC(=O)N[C@H]1CCN(C)C1=O)C(=O)N1CCOCC1","ZINC000351621154","DBAD"
"Cc1conc1C(=O)N1CCCC[C@@H]1CCN[C@H]1CCC(=O)NC1=O","ZINC001036329700","ECAD"
"CC[C@H](OC)C(=O)N1[C@H]2CC[C@H]1CN(C(=O)c1cc(=O)n(C)cn1)C2","ZINC000968653593","ECAD"
"CCN1C[C@H](C(=O)NC[C@H]2CC[C@@H](NCc3nocc3C)C2)CC1=O","ZINC001086710545","EDAD"
"O=C(NCC(F)(F)F)c1ccc(O[C@@H]2CCOC2)cc1","ZINC000347861307","CEAD"
"CCN(c1nnc(C2CCC2)n1CC)C1CCCC1","ZINC000358600894","CGAD"
"C[C@@H](NC(=O)c1nccnc1N)[C@@H](C)N1CCOCC1","ZINC000104939111","CBAD"
"CCn1cc(CN[C@H]2CCC[C@H](NC(=O)C(N)=O)C2)nn1","ZINC000981309092","CBAD"
"NCc1nccnc1N1CC[C@@H](Oc2ccc(Cl)c(Cl)c2)C1","ZINC001646634384","EFAD"
"CN(C(=O)CC1OCCCO1)[C@H](CCO)c1ccccc1","ZINC000793688410","CDAD"
"CCNC(=O)CNCCNC(=O)C1CC2(C1)CS(=O)(=O)C2","ZINC001130233695","DAAD"
"C[C@H](NC(=O)N1[C@@H]2CC[C@H]1C[C@H](C#N)C2)C1CCCCC1","ZINC001186387311","CGED"
"C[C@H]1CN(C(=O)CCCF)C[C@@H]1NC(=O)CCCC(=O)N(C)C","ZINC001072528953","ECAD"
"CN(C)c1cc(C(=O)NCCC(C)(C)C2CC2)cc(-c2nn[nH]n2)c1","ZINC001604696907","EEAD"
"O=C(COCC1CC1)N[C@@H]1[C@H]2CN(C(=O)c3cnccn3)C[C@H]21","ZINC001397329817","DCAD"
"CCOc1nc(C)ccc1C(=O)N[C@@H]1CCN(CC(N)=O)C[C@@H]1O","ZINC001090684298","EBAD"
"CC[C@H](C(=O)N1CCC[C@](OC)(C(F)(F)F)C1)N(CC)CC","ZINC000682014333","DFAD"
"O=C1NCCc2cccc(NC(=S)NCc3ccc(Cl)cc3)c21","ZINC001197581733","EGAD"
"O=C(NCC1=CCCC1)C(=O)NC[C@@H]1CCCCS1(=O)=O","ZINC001328093293","DCAD"
"CC(=O)NCCN(C)c1nnc([C@@]2(O)CCSC2)n1C","ZINC001647698993","CBAD"
"CCC[C@@H]1C[C@H]1C(=O)NCc1cccnc1OC1CCCC1","ZINC000079541881","DGAD"
"CCOc1ccc(OCC)c(N[C@@H]2CCSC2)c1","ZINC000019906571","CGAD"
"Cn1ncc2c1ncnc2NC[C@H]1CC[C@H](NC(=O)CC(N)=O)CC1","ZINC001111638068","ECAD"
"Cn1ncc(CNCC2(CCNC(=O)[C@]3(C)CCNC3=O)CC2)n1","ZINC001167200043","EBAD"
"C[C@H](CN(C)C(=O)[C@@H]1CCC(=O)N1)NC(=O)CCc1nc[nH]n1","ZINC001451169580","DAAD"
"COc1ccc(-c2noc(C[C@H](C)OC)n2)cc1Cl","ZINC001205237078","CFAD"
"C[C@@H]1[C@@H](NC(=O)Cc2noc3ccc(F)cc23)CCCN1CCO","ZINC000993950084","EDAD"
"CC(=O)Nc1c[nH]c(C)c1C(=O)N(C)[C@@H](C)CNCc1ncnn1C","ZINC001374250585","ECAD"
"O=C(CNCCNC(=O)c1csnn1)NCc1ccco1","ZINC001131972825","DBAD"
"CC(C)OCCCN(C)c1ccc2c(c1)OCO2","ZINC000121402743","CFCD"
"C[C@@H](CCCCN)NC(=O)C(=O)Nc1ccc(C(F)F)cc1","ZINC000927800211","DEAD"
"O=C([C@H]1[C@@H]2COC[C@@H]21)N1CC[C@H](NCc2ncccn2)C1","ZINC001019263313","CCAD"
"NC(=O)C[C@H]1CCCN(C(=O)NC[C@@H]2CC3CCC2CC3)CC1","ZINC000645654041","DEAD"
"CC(=O)N1C[C@H]2C(NC(=O)C3CS(=O)(=O)C3)[C@@H]2C1","ZINC001013148254","CAAD"
"C[C@H](C(=O)N1C[C@@H]2C(NC(=O)c3cnon3)[C@H]2C1)n1cncn1","ZINC001013641091","DBAD"
"NC(=O)c1ccccc1Oc1ccc(NC(=O)[C@@H]2CCCNC2)cc1","ZINC000119364974","EFAD"
"C[C@@]1(C(=O)NC2CN(Cc3nc(C(F)F)no3)C2)C=CCC1","ZINC001030802821","DDAD"
"N#CCN1C[C@@H](O)[C@H](NC(=O)C2CC(F)(F)C2)C1","ZINC001076858133","CBED"
"CCOCCCN(CC)[C@H](C)CNC(=O)c1nc(C2CC2)oc1C","ZINC001156096815","EFAD"
"CC(C)C[C@@H](C(N)=O)C(=O)N(C)C[C@H]1CCCCN1C(=O)C(N)=O","ZINC001756867759","EBAD"
"CNC(=O)[C@H](CCCCN)N[C@@H]1CCCNCC1","ZINC001246512030","CBAD"
"O=C(O)CN1CCC[C@@H](C(=O)NC[C@H]2CN3CCN2CC3)C1=O","ZINC001606248866","DAAD"
"CS(=O)(=O)[C@H]1CCCCN(CCCN2C(=O)CNC2=O)C1","ZINC000444793708","DBAD"
"C[C@H](NC(=O)[C@@H]1CN2CCN1C[C@H]2C)C(=O)N(C)C","ZINC001346986397","CAAD"
"CC[C@@H]1[C@@H](C)CCN1c1nnc(-c2cocn2)n1CC","ZINC001646713511","CFAD"
"c1nc([C@@H]2CCCN2Cc2cnn(-c3ccccc3)c2)no1","ZINC000377496831","CFAD"
"CC/C=C(\C)C(=O)N1CCC([C@H]2CCCN2CCCF)CC1","ZINC001230531078","DGAD"
"Cc1ccccc1OCCN1CCC[C@H](NC(=O)C2CCC2)CC1","ZINC001052138640","EGAD"
"CC[C@H](C)C(=O)N1CC(CNC(=O)c2c(Cl)cccc2Cl)C1","ZINC001004258958","EGAD"
"CCN(CC(=O)NC1CC1)[C@H](C)CNC(=O)Cn1ncnn1","ZINC001153376678","DAAD"
"Cc1nc(C)c(C(=O)N2C[C@H](NC(=O)c3ccco3)C(C)(C)C2)o1","ZINC001007807584","EEAD"
"CCOC(=O)[C@]1(C)CCC[C@H]1Nc1ccc([N+](=O)[O-])cn1","ZINC000596549319","CFBD"
"C[C@H](NC(=S)NC[C@@H]1CCOC1)c1ccsc1","ZINC000800821040","CEAD"
"CC[C@@H]1CN(C(=O)Cn2cnnn2)CC[C@H]1NCc1nnnn1C","ZINC001037776504","EAAD"
"C[C@H](COCC1CCCCC1)NC(=O)N1C[C@H]2CC[C@@H](C1)N2","ZINC001650180809","DEAD"
"Cc1c[nH]cc1C(=O)N(C)C1CN(C(=O)C[C@@H]2CCNC2=O)C1","ZINC000954314945","DCAD"
"O=C(N[C@@H]1CCCN(c2cc(Cl)nc(C3CC3)n2)CC1)C1CCC1","ZINC001066709137","EGAD"
"Cc1nn(C)c(C)c1[C@@H](C)C(=O)OCc1cccc(-n2cccn2)c1","ZINC000756317142","EGAD"
"Cn1ccnc1[C@H](NC[C@@H](O)[C@H]1CCCO1)c1ccc(Cl)cc1","ZINC000527950928","EEAD"
"Cc1nn(-c2ccccc2)c(C)c1CNC(=O)N(C)[C@H](C)CN","ZINC000416886279","DDAD"
"COC(=O)c1cnc(N(C(=O)CCn2cccc2)C2CC2)s1","ZINC000610512153","DEAD"
"COC[C@@H](C)C(=O)NCC1CN([C@H](C)c2csnn2)C1","ZINC001404869124","CCAD"
"CC(C)[C@H](CNC(=O)N[C@@H](C)Cc1cnn(C)c1)N1CCCCCC1","ZINC000457608757","EFAD"
"CSc1ccccc1C(=O)N1C[C@@H]2CC[C@H](O)[C@@H]2C1","ZINC000124836976","CEAD"
"CC[C@H](CC1CCCC1)C(=O)N1CC[C@H](C(=O)O)[C@H](C)C1","ZINC000262877785","CGAD"
"Cc1cc(F)c(C(=O)N2CC[C@H](N(C)Cc3cn(C)nn3)C2)c(F)c1","ZINC000971908426","EDAD"
"CC[C@@H](C)CCC(=O)N(C)[C@H]1CCCN(C(=O)c2cncc(F)c2)C1","ZINC001744856009","EGAD"
"CC1(C)CN(C(=O)CCCC(N)=O)CC[C@H]1NC(=O)c1nc[nH]n1","ZINC001073451622","EBAD"
"CCn1cc(C(=O)N2C[C@@H](NC(=O)Cn3nccn3)CC[C@H]2C)nn1","ZINC001018182731","EBAD"
"CCCOc1ccc(NC(=O)C(=O)N(C)Cc2nccn2C)c(C)c1","ZINC000119731251","EEAD"
"CCC(CC)C(=O)N(C)CCCN(C)C(=O)CN1CCCC1","ZINC001066878328","DDAD"
"CC(C)N1C[C@@H](C(=O)N[C@@H]2[C@H]3CN(C(=O)c4cnon4)C[C@H]32)CC1=O","ZINC000976650510","EBAD"
"CCc1cc(C(=O)N2C[C@@H](N3CCOCC3)C[C@H]2C)c(C)o1","ZINC001550778316","DEAD"
"CCC1(C(=O)N2CC3(C2)CCN(C[C@H](O)COC)C3)CCOCC1","ZINC001148487794","ECAD"
"COCCN1C[C@H](C(=O)NCCN[C@H](C)C(=O)NC(N)=O)CC1=O","ZINC001128658279","EAAD"
"CNC(=O)CNC[C@@H]1CN(C(=O)CN2C(=O)CCC2=O)CC[C@@H]1C","ZINC001133301408","EAAD"
"Cc1cc(=O)c2ccc(OC3CN(Cc4ccccc4)C3)cc2o1","ZINC001231169639","DGAD"
"CCN(C(=O)c1cc(OC)no1)C1CN(C(=O)C(N)=O)C1","ZINC000967898108","CAAD"
"CCC[C@@H](C)CC(=O)NC[C@H](Nc1cnc(F)cn1)C(C)C","ZINC001105134754","DFAD"
"CCc1noc(C)c1CN[C@H]1C[C@@H](CNC(=O)CCn2cnnn2)C1","ZINC001417776361","ECAD"
"C#CCSCCNC(=O)NC[C@]1(O)CCCC1(C)C","ZINC000838485585","CDED"
"C[C@H](SCCNS(=O)(=O)c1ccccc1)c1ccccc1","ZINC000173747906","DGAD"
"CC[C@@H]1CCCC[C@@H]1CNC(=O)c1ncccc1F","ZINC000615671184","CGAD"
"CN1CC[C@H](C(=O)N2CC(O)(CNC(=O)[C@@H]3COC(=O)N3)C2)C1","ZINC001042862314","EAAD"
"Cn1nncc1C(=O)N1C[C@@H](O)[C@H](NC(=O)c2ccnc(O)c2)C1","ZINC001023374997","EAAD"
"Cc1cscc1C(=O)N1C[C@H]2C[C@H]1[C@@H]2NC(=O)C(F)=C1CCCC1","ZINC000946921500","EGAD"
"CNC(=O)CC(=O)NC1[C@@H]2CN(Cc3cccc(OC)c3C)C[C@@H]12","ZINC001114180418","ECAD"
"c1cc2c(cccc2CNC2C[C@@H]3C=C[C@@H](C2)O3)s1","ZINC001172237673","CGAD"
"Cc1ncncc1C(=O)N[C@@H]1CN(C(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)C[C@H]1O","ZINC001023127007","EBAD"
"Cc1ccn(CC(=O)NCCNS(C)(=O)=O)n1","ZINC000622293273","CAAD"
"C[C@@H](C(N)=O)N1CC[C@H](NC(=O)CN2CCOCC2)C1","ZINC001010665120","CAAD"
"C[C@H](C#N)CNC(=O)C1(c2cc(F)cc(-c3nn[nH]n3)c2)CC1","ZINC001588933977","DDED"
"COC(=O)Cn1cc(CCOC(=O)C2(SC)CC2)nn1","ZINC000789196133","CCAD"
"C[C@H](N[C@H]1CCN(C(=O)CC(N)=O)[C@H]1C)C(=O)N(C)C","ZINC001178391001","CAAD"
"Cc1ccc(N2CC[C@H]3[C@@H]2CCCN3C(=O)CC(C)(C)C)nn1","ZINC001066110192","DFAD"
"Cc1ncn(C)c1C(=O)NC[C@H](C)NC(=O)c1cn(C(C)C)cn1","ZINC001377820280","EDAD"
"Cc1cccc([C@H](C)NC(=O)c2nccnc2C(N)=O)c1","ZINC001362278760","CDAD"
"C=C(Cl)CN1CCO[C@H](CNC(=O)CN2CCC(=O)NC2=O)C1","ZINC001421805176","EBED"
"O=C(NCCN1CCNC1=O)Nc1cnn(C(F)F)c1","ZINC000887941567","CCAD"
"CC(C)N1C(=O)N[C@H]2CN(C(=O)c3ccc4c(c3)C[C@@H](C)O4)CC[C@H]21","ZINC001549376766","EEAD"
"CC1(C)CCC(C(=O)N2CCC[C@H](NC(=O)C=C3CCC3)C2)CC1","ZINC000951163944","EGAD"
"Cc1nonc1C(=O)N1CCC([C@@H](C)N[C@@H]2CCNC2=O)CC1","ZINC001029175741","DCAD"
"C[C@@H]1CCN(S(=O)(=O)CC2CCCCC2)C[C@]1(C)O","ZINC001259615827","CDAD"
"Cc1nocc1C[S@@](=O)CC[C@H](C)OCc1ccccc1","ZINC000566490878","DGAD"
"Cc1nccc(C(=O)N[C@@H]2C[C@H](C)N(C(=O)COCC3CC3)C2)n1","ZINC001382732234","ECAD"
"COC(=O)c1ccc(NC[C@H]2CCC(C)(C)CO2)c(-c2nn[nH]n2)n1","ZINC001591296618","EDAD"
"O=C(c1ccnc(NC2CCC2)c1)N1C[C@H](O)C[C@@H]1c1ccccc1","ZINC000910418253","EFAD"
"O=C(CCCc1ccccn1)N[C@H]1C[C@H](NCCN2CCNC2=O)C1","ZINC001480168742","ECAD"
"C=CCCC(=O)N1CCC[C@@H]1CN[C@@H](C)c1nc(COC)no1","ZINC001733337214","DDED"
"C[C@H](F)CCN1CC[C@@H]2CCN(C(=O)c3cccc4[nH]ccc43)C[C@@H]21","ZINC001085040300","EGAD"
"NC(=O)NC1(C(=O)N[C@@H]2COC3(CN(C(=O)c4cc[nH]n4)C3)C2)CC1","ZINC001068819482","EAAD"
"CN(Cc1nncn1C)CC1CCN(C(=O)c2nnn(C)n2)CC1","ZINC001029986295","EBAD"
"COCc1nc2n(n1)CCC[C@H]2N[C@@H](C)Cn1cccn1","ZINC000137494287","CDAD"
"Cc1ccc(C(=O)N2C[C@H]3CC[C@H]2CN3[C@H](C)c2nnc(C)s2)o1","ZINC000971075352","EFAD"
"CC(C)[C@H](F)C(=O)N[C@@H]1CN(C/C=C/Cl)C[C@H]1O","ZINC001195492486","CCAD"
"Cc1ccccc1CCCN1CCN(Cc2ccon2)CC1","ZINC000175910273","CFAD"
"O=C(NCC12CC(C1)CN2)N1CC[C@@H]2CC(=O)N[C@H]2C1","ZINC001550736193","CBAD"
"Cc1ncoc1CNC[C@H]1CCN(C(=O)c2cc(C(N)=O)cn2C)C1","ZINC001026941299","ECAD"
"Cc1cc(C(=O)NCC2(O)CN(C(=O)[C@H]3CCCNC3=O)C2)on1","ZINC001041436792","EAAD"
"COc1ncccc1CNC(=O)[C@@]1(O)CCOC1","ZINC000622297353","CBAD"
"O=C(NCCO[C@H]1CCOC1)C(=O)N1CC[C@@]2(CCNC2)C1","ZINC000911480577","DBAD"
"C[C@H](COCC1CC1)NC(=O)C(=O)N1CC[C@@H]2COC(=O)N[C@H]2C1","ZINC000846748109","EBAD"
"CC(C)[C@H](F)C(=O)N1CCC2(C1)CCN(Cc1nncn1C)CC2","ZINC001040810687","EDAD"
"O=C(OC[C@H]1CCC[C@@H](O)C1)C1(c2ccccc2)CCC1","ZINC000795265203","CGAD"
"CCc1ccoc1C(=O)N1CC[C@]2(CCN(CCC3CC3)C2)C1","ZINC001041641211","DGAD"
"C[C@@H](C#N)C(=O)NC[C@H]1CC[C@H](NC(=O)C(C)(F)F)CC1","ZINC001060640625","DDED"
"C[C@@H]1[C@@H](NC(=O)C2(C)C[C@@H]3C[C@H]3C2)CCN1Cc1ccccc1C#N","ZINC001088768191","EGED"
"COCC#CCN1C[C@@H](O)[C@H](NC(=O)[C@]2(C)CCC(=O)NC2)C1","ZINC001195531178","DAED"
"C[C@H]1CN(c2nnc(C3CC=CC3)n2CC2CC2)CC[C@H]1C(=O)O","ZINC001607481002","EFAD"
"CN(CCCCCCNc1ccc(C#N)nn1)C(=O)Cc1ncc[nH]1","ZINC001091742254","EDED"
"C[C@H](c1nnnn1C)N1C[C@H](O)[C@@H](N(C)C(=O)C23CCN(CC2)C3)C1","ZINC001047598744","EAAD"
"COC(=O)[C@H](O)C1CCN(CCCC(=O)NC(N)=O)CC1","ZINC000441272400","DBAD"
"CN(C)c1ncccc1/C(O)=N/C[C@@]1(O)CCOC1","ZINC000330460610","CCED"
"N#CCOc1ccc(-c2cnc(C(F)(F)F)nc2)cc1","ZINC001243590578","CGED"
"CN(C)c1ccc(C(=O)Nc2cc3c(cn2)CCCC3)cn1","ZINC000361197761","CFAD"
"Cc1coc(C)c1C(=O)N(C)[C@H](C)CNC(=O)c1cscn1","ZINC001382929926","DEAD"
"C=CCOCCCC(=O)O[C@H](C)C(=O)Nc1ccccc1","ZINC000745533113","CFED"
"CNC(=O)[C@H](C)N(C)[C@@H]1CCN(C(=O)Cc2ccnn2C)C1","ZINC001189875199","DBAD"
"CC#CCN1C[C@@H](CNC(=O)c2cc(C(C)(C)C)n[nH]2)[C@H](C)C1","ZINC001092766264","DEED"
"CCNC[C@@H](C1CC1)N(C)C(=O)c1ccoc1C(C)C","ZINC001410328513","CFAD"
"CC(C)C1(C(=O)N2C[C@@H](O)[C@@H](CNC(=O)C(N)=O)C2)CC1","ZINC001081719785","CAAD"
"C[C@@H](CCCCNCC(N)=O)NC(=O)C(C)(C)CN1CCOCC1","ZINC001171516460","ECAD"
"NC(=O)[C@@H]1C[C@@H]1C(=O)NCC1CN(Cc2nnc3n2CCCC3)C1","ZINC001031981449","EBAD"
"CC[C@@H]1OCC[C@H]1C(=O)NC1[C@@H]2CN(C(=O)c3cn(CC)nn3)C[C@@H]12","ZINC001013562088","ECAD"
"O=C(NC1CC(OCc2ccccc2)C1)C12CCCN1CCC2","ZINC000368227892","DEAD"
"C[C@H](CNc1cccc(F)n1)N(C)C(=O)[C@H]1COc2ccccc21","ZINC001104606871","EFAD"
"Cc1ccc2c(c1)[C@H](NCC1(O)CCN(C)CC1)CC2","ZINC000268972443","CEAD"
"Cc1ccccc1N1CCCN(c2noc(C(C)C)n2)CC1","ZINC001704353821","DGAA"
"O=C(C=C1CCC1)NCC1(O)CN(C(=O)COCc2ccccc2)C1","ZINC001042493012","EDAD"
"CC[C@@H](C)NC(=O)N[C@@H](C)[C@@H]1C[C@H](C(=O)O)C1(C)C","ZINC001589463294","CEAD"
"CN(Cc1cnccn1)C(=O)C(=O)Nc1ccc2c(c1)CCCCC2","ZINC000651699233","EEAD"
"NC(=O)CCC(=O)N1CC[C@H](CN2CCOCC2)C1","ZINC001332091948","CBAD"
"C#CCNC(=O)COC(=O)[C@H]1CCS(=O)(=O)c2ccccc21","ZINC000792819777","DCED"
"CCC/C=C/C(=O)N[C@@H](c1cnn(C)c1)c1noc(C)n1","ZINC000868673608","CDAD"
"CC[C@@H](CNC(=O)c1ccc[nH]1)NC(=O)c1cc(OC)ncn1","ZINC001432610546","DCAD"
"Cn1nnnc1CN1CC[C@@H]1CNC(=O)[C@@H]1COC(=O)N1","ZINC001038223978","CAAD"
"O=C(c1c[nH]c2cccc([N+](=O)[O-])c21)N1C[C@H]2[C@H]3CC[C@@H](O3)[C@@H]2C1","ZINC000342931812","EEBD"
"CCNC(=O)CN[C@@H](C)CCNC(=O)c1c(C)nsc1C","ZINC001403492647","DCAD"
"CCc1nc(C(=O)N2CCCC[C@@H]2[C@@H]2CCN(CC3CC3)C2)co1","ZINC001039198817","EFAD"
"Cc1nn(C)c(C)c1S(=O)(=O)Nc1ncn(C)c1C(N)=O","ZINC000356508065","DBAD"
"CCC[C@H](NC(=O)N1CC[C@H](C)[C@H](CO)C1)c1ccccn1","ZINC000621455240","DFAD"
"O=C(NC[C@@H]1CCN1C(=O)C(F)F)c1cnnc(O)c1","ZINC000950526707","CBAD"
